file,cpn,width,height,area,max_dim,min_dim,n_pages,scale_p1,scale_p2,scale_p3
E-RAD4-23.00X34.75-BK05-30K-SALES-AID-A.1.PDF,RAD4-23.00X34.75-BK05-30K,23.0,34.75,799.25,34.75,23.0,2,10,8,
E-RAD4-24.00X36.00-BK05-KD-30K-SALES-AID-A.1.PDF,RAD4-24.00X36.00-BK05-KD-30K,24.0,36.0,864.0,36.0,24.0,2,10,10,
E-RAD4-34.75X34.75-BK05-30K-SALES-AID-A.1.PDF,RAD4-34.75X34.75-BK05-30K,34.75,34.75,1207.5625,34.75,34.75,2,10,10,
RAD4-17.25X56.00-CH04-30K-SALES-AID-A.1.pdf,RAD4-17.25X56.00-CH04-30K,17.25,56.0,966.0,56.0,17.25,2,12,12,
RAD4-17.25X62.00-CH04-30K-SALES-AID-A.1.pdf,RAD4-17.25X62.00-CH04-30K,17.25,62.0,1069.5,62.0,17.25,2,12,14,
RAD4-19.00X38.75-CH04-30K-SALES-AID-A.1.PDF,RAD4-19.00X38.75-CH04-30K,19.0,38.75,736.25,38.75,19.0,2,10,10,
RAD4-19.00X40.00-BR02-30K-SALES-AID-A.1.PDF,RAD4-19.00X40.00-BR02-30K,19.0,40.0,760.0,40.0,19.0,2,10,10,
RAD4-20.00X48.00-BR02-WG3-30K-SALES-AID-A.1.PDF,RAD4-20.00X48.00-BR02-WG3-30K,20.0,48.0,960.0,48.0,20.0,2,12,12,
RAD4-21.00X36.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-21.00X36.00-BR02-D2-30K,21.0,36.0,756.0,36.0,21.0,2,10,10,
RAD4-21.00X42.00-BK05-WG3-30K-SALES-AID-A.1.PDF,RAD4-21.00X42.00-BK05-WG3-30K,21.0,42.0,882.0,42.0,21.0,2,10,10,
RAD4-21.00X42.00-CH04-D1-30K-SALES-AID-A.1.pdf,RAD4-21.00X42.00-CH04-D1-30K,21.0,42.0,882.0,42.0,21.0,2,10,10,
RAD4-22.00X48.00-BR02-KG-35K-SALES-AID-A.1.pdf,RAD4-22.00X48.00-BR02-KG-35K,22.0,48.0,1056.0,48.0,22.0,2,12,12,
RAD4-22.00X60.00-BR02-KG-WR-30K-SALES-AID-A.1.PDF,RAD4-22.00X60.00-BR02-KG-WR-30K,22.0,60.0,1320.0,60.0,22.0,2,14,14,
RAD4-23.00X34.75-BK05-30K-SALES-AID-A.1.PDF,RAD4-23.00X34.75-BK05-30K,23.0,34.75,799.25,34.75,23.0,2,10,8,
RAD4-23.00X34.75-CH04-30K-SALES-AID-A.1.PDF,RAD4-23.00X34.75-CH04-30K,23.0,34.75,799.25,34.75,23.0,2,10,8,
RAD4-23.00X34.75-CH04-30K-SALES-AID-A.2.pdf,RAD4-23.00X34.75-CH04-30K,23.0,34.75,799.25,34.75,23.0,2,10,8,
RAD4-23.00X34.75-CH04-30K-SALES-AID-A.3.PDF,RAD4-23.00X34.75-CH04-30K,23.0,34.75,799.25,34.75,23.0,2,10,8,
RAD4-23.00X34.75-CH04-D1-30K-SALES-AID-A.1.PDF,RAD4-23.00X34.75-CH04-D1-30K,23.0,34.75,799.25,34.75,23.0,2,10,8,
RAD4-23.00X44.75-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-23.00X44.75-BK05-D2-30K,23.0,44.75,1029.25,44.75,23.0,2,12,10,
RAD4-23.00X46.75-CH04-30K-SALES-AID-A.1.PDF,RAD4-23.00X46.75-CH04-30K,23.0,46.75,1075.25,46.75,23.0,2,12,12,
RAD4-23.00X50.50-BK05-D2-30K-SALES-AID-A.1.PDF,RAD4-23.00X50.50-BK05-D2-30K,23.0,50.5,1161.5,50.5,23.0,2,12,10,
RAD4-24.00X36.00-BK05-30K-SALES-AID-A.2.pdf,RAD4-24.00X36.00-BK05-30K,24.0,36.0,864.0,36.0,24.0,2,10,8,
RAD4-24.00X36.00-BK05-CK2-30K-SALES-AID-A.1.PDF,RAD4-24.00X36.00-BK05-CK2-30K,24.0,36.0,864.0,36.0,24.0,2,10,10,
RAD4-24.00X36.00-BK05-D1-30K-SALES-AID-A.1.PDF,RAD4-24.00X36.00-BK05-D1-30K,24.0,36.0,864.0,36.0,24.0,2,12,10,
