file,cpn,revision,cpn_model,cpn_custom_prefix,cpn_size,cpn_finish_code,cpn_finish_name,cpn_cct_code,cpn_cct_K,cpn_is_custom,cpn_is_frx,cpn_options,cpn_option_meanings,frame_finish,total_wattage_W,voltage_V,current_A,led_type,led_length_in,led_wattage_W,l70_lifespan_hrs,cct_K,lumens_total,lumens_per_ft,cri,weight_lbs,has_defogger,defogger_voltage,defogger_wattage,has_clock,clock_watts,has_keen,has_277v,has_dimmer_kd,powerbox,mirror_assembly,powerbox_assembly,cpn_in_pdf,cpn_from_filename
E-RAD4-23.00X34.75-BK05-30K-SALES-AID-A.1.PDF,RAD4-23.00X34.75-BK05-30K,A.1,RAD4,,23.00X34.75,BK05,MATTE BLACK,30K,3000K,False,False,,,MATTE BLACK,,220 - 240,0.13,REPLACEABLE FLEX STRIP,113,34,"140,000","3,000","2,822",302,90+,27,False,,,False,,False,False,False,81330-96W,,,RAD4-23.00X34.75-BK05-30K,E-RAD4-23.00X34.75-BK05-30K
E-RAD4-24.00X36.00-BK05-KD-30K-SALES-AID-A.1.PDF,RAD4-24.00X36.00-BK05-KD-30K,A.1,RAD4,,24.00X36.00,BK05,MATTE BLACK,30K,3000K,False,False,KD,Keen Dimmer,MATTE BLACK,,220-240,0.14,REPLACEABLE FLEX STRIP,119,37,"140,000","3,000",2993,302,90+,29,False,,,False,,True,False,True,81330-K-96W,,,RAD4-24.00X36.00-BK05-KD-30K,E-RAD4-24.00X36.00-BK05-KD-30K
E-RAD4-34.75X34.75-BK05-30K-SALES-AID-A.1.PDF,RAD4-34.75X34.75-BK05-30K,A.1,RAD4,,34.75X34.75,BK05,MATTE BLACK,30K,3000K,False,False,,,MATTE BLACK,,220-240,0.17,REPLACEABLE FLEX STRIP,136,42,"140,000","3,000",3420,302,90+,37,False,,,False,,False,False,False,81330-96W,,,RAD4-34.75X34.75-BK05-30K,E-RAD4-34.75X34.75-BK05-30K
RAD4-17.25X56.00-CH04-30K-SALES-AID-A.1.pdf,RAD4-17.25X56.00-CH04-30K,A.1,RAD4,,17.25X56.00,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120,0.37,REPLACEABLE FLEX STRIP,144,44,"140,000","3,000",3622,302,90+,31,False,,,False,,False,False,False,,,,RAD4-17.25X56.00-CH04-30K,RAD4-17.25X56.00-CH04-30K
RAD4-17.25X62.00-CH04-30K-SALES-AID-A.1.pdf,RAD4-17.25X62.00-CH04-30K,A.1,RAD4,,17.25X62.00,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120,0.40,REPLACEABLE FLEX STRIP,156,48,"140,000","3,000",3923,302,90+,34,False,,,False,,False,False,False,,,,RAD4-17.25X62.00-CH04-30K,RAD4-17.25X62.00-CH04-30K
RAD4-19.00X38.75-CH04-30K-SALES-AID-A.1.PDF,RAD4-19.00X38.75-CH04-30K,A.1,RAD4,,19.00X38.75,CH04,CHROME,30K,3000K,False,False,,,ETCHED CHROME,,120 OR 277,0.26 OR 0.11,REPLACEABLE FLEX STRIP,113,35,"140,000","3,000","2,842",302,90+,25,False,,,False,,False,True,False,,,,RAD4-19.00X38.75-CH04-30K,RAD4-19.00X38.75-CH04-30K
RAD4-19.00X40.00-BR02-30K-SALES-AID-A.1.PDF,RAD4-19.00X40.00-BR02-30K,A.1,RAD4,,19.00X40.00,BR02,BRUSHED BRASS,30K,3000K,False,False,,,BRUSHED BRASS,,120 OR 277,0.28 OR 0.12,REPLACEABLE FLEX STRIP,117,30,"140,000","3,000","2,920",302,90+,27,False,,,False,,False,True,False,81330-96W,RAD4-19.00X40.00-BR02-30K-M,81330-96W,RAD4-19.00X40.00-BR02-30K,RAD4-19.00X40.00-BR02-30K
RAD4-20.00X48.00-BR02-WG3-30K-SALES-AID-A.1.PDF,RAD4-20.00X48.00-BR02-WG3-30K,A.1,RAD4,,20.00X48.00,BR02,BRUSHED BRASS,30K,3000K,False,False,WG3,Wall-Grommet/Power Routing (WG3),BRUSHED BRASS,,120 OR 277,0.65 OR 0.28,REPLACEABLE FLEX STRIP,134,41,"140,000",3000,"3,367",302,90+,36,False,,,False,,False,True,False,81330-192W,RAD4-20.00X48.00-BR02-WG3-30K-M,81330-192W,RAD4-20.00X48.00-BR02-WG3-30K,RAD4-20.00X48.00-BR02-WG3-30K
RAD4-21.00X36.00-BR02-D2-30K-SALES-AID-A.1.PDF,RAD4-21.00X36.00-BR02-D2-30K,A.1,RAD4,,21.00X36.00,BR02,BRUSHED BRASS,30K,3000K,False,False,D2,Defogger D2,BRUSHED BRASS,,120 - 277,0.28 - 0.12,REPLACEABLE FLEX STRIP,113,35,"140,000","3,000",2842,302,90+,26,False,,,False,,False,True,False,81330-D2-96W,,,RAD4-21.00X36.00-BR02-D2-30K,RAD4-21.00X36.00-BR02-D2-30K
RAD4-21.00X42.00-BK05-WG3-30K-SALES-AID-A.1.PDF,RAD4-21.00X42.00-BK05-WG3-30K,A.1,RAD4,,21.00X42.00,BK05,MATTE BLACK,30K,3000K,False,False,WG3,Wall-Grommet/Power Routing (WG3),MATTE BLACK,,120 OR 277,0.56 OR 0.24,REPLACEABLE FLEX STRIP,125,39,"140,000","3,000",3144,302,90+,33,False,,,False,,False,True,False,81330-192W,RAD4-21.00X42.00-BK05-WG3-30K-M,81330-192W,RAD4-21.00X42.00-BK05-WG3-30K,RAD4-21.00X42.00-BK05-WG3-30K
